City_ID,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind Speed,Country,Date
0,Malakal,9.5334,31.6605,93.63,16,100,7.72,SS,1668175038
1,Tazovsky,67.4667,78.7,-5.49,94,5,8.88,RU,1668175038
2,Mahébourg,-20.4081,57.7,77.29,73,75,5.75,MU,1668175038
3,Port Blair,11.6667,92.75,82.44,78,40,2.3,IN,1668174911
4,Saint-Philippe,-21.3585,55.7679,78.39,79,52,7.05,RE,1668175039
5,Arrondissement de Figeac,44.75,1.9167,66.76,60,3,7.76,FR,1668175039
6,Mandalgovi,45.7625,106.2708,20.73,64,0,5.28,MN,1668175039
7,Mataura,-46.1927,168.8643,46.29,95,100,1.1,NZ,1668175040
8,Kudahuvadhoo,2.6708,72.8944,81.59,78,92,12.3,MV,1668175040
9,San Quintín,30.4833,-115.95,57.24,55,98,3.4,MX,1668175040
10,Upernavik,72.7868,-56.1549,12.22,86,100,7.25,GL,1668175041
11,Butaritari,3.0707,172.7902,81.1,73,100,19.62,KI,1668175041
12,Luancheng,37.8792,114.6517,51.96,94,100,4.81,CN,1668175041
13,Roald,62.5833,6.1333,54.75,93,100,5.75,NO,1668175042
14,Port-Cartier,50.0334,-66.8654,35.74,73,100,4.03,CA,1668175042
15,Cidreira,-30.1811,-50.2056,68.45,79,100,11.36,BR,1668175042
16,Touros,-5.1989,-35.4608,86.95,50,55,12.28,BR,1668174753
17,İskilip,40.7353,34.4739,54.39,48,2,2.26,TR,1668175043
18,Faanui,-16.4833,-151.75,77.41,78,34,4.52,PF,1668175043
19,Torbay,47.6666,-52.7314,41.4,95,75,4.61,CA,1668175043
20,Atherton,53.5237,-2.4935,62.01,75,79,3.0,GB,1668175043
21,Zeya,53.75,127.2667,8.02,94,13,4.05,RU,1668175044
22,Lakes Entrance,-37.8811,147.981,62.17,97,96,2.42,AU,1668175044
23,Anchorage,61.2181,-149.9003,31.64,94,100,5.01,US,1668174945
24,Mayo,38.8876,-76.5119,67.17,95,100,9.22,US,1668175044
25,Hermanus,-34.4187,19.2345,74.8,69,30,8.5,ZA,1668175045
26,Chapais,49.7834,-74.8492,28.18,93,100,8.3,CA,1668175045
27,Paamiut,61.994,-49.6678,20.86,72,100,10.0,GL,1668175045
28,Saldanha,-33.0117,17.9442,77.05,65,5,12.66,ZA,1668175045
29,Busselton,-33.65,115.3333,50.85,78,28,8.08,AU,1668175046
30,Rikitea,-23.1203,-134.9692,73.17,87,26,5.93,PF,1668175046
31,Chokurdakh,70.6333,147.9167,-20.6,98,100,6.4,RU,1668175046
32,Champerico,14.3,-91.9167,75.74,77,40,4.94,GT,1668175047
33,Te Anau,-45.4167,167.7167,51.53,83,100,0.38,NZ,1668175047
34,Albany,42.6001,-73.9662,61.74,88,100,4.23,US,1668175047
35,Buala,-8.145,159.5921,77.95,89,100,5.59,SB,1668175047
36,Kapaa,22.0752,-159.319,74.1,77,75,16.11,US,1668175048
37,Hithadhoo,-0.6,73.0833,81.81,77,12,12.57,MV,1668175048
38,Gunnedah,-30.9833,150.25,61.68,81,1,3.6,AU,1668175048
39,Ushuaia,-54.8,-68.3,49.66,50,40,16.11,AR,1668175049
40,Pisco,-13.7,-76.2167,65.01,94,40,0.0,PE,1668175049
41,Cape Town,-33.9258,18.4232,76.12,53,0,10.36,ZA,1668174854
42,Samarai,-10.6167,150.6667,79.66,81,81,10.27,PG,1668175049
43,Bowling Green,36.9903,-86.4436,59.14,95,100,4.61,US,1668175050
44,Mar del Plata,-38.0023,-57.5575,78.84,75,0,11.99,AR,1668174859
45,San Patricio,28.017,-97.5169,76.86,85,39,6.13,US,1668175050
46,Hong Kong,22.2855,114.1577,78.19,81,0,5.01,HK,1668174882
47,Avarua,-21.2078,-159.775,71.65,78,100,6.91,CK,1668175051
48,Ayr,55.4627,-4.6339,62.58,77,75,25.32,GB,1668174949
49,Bac Lieu,9.285,105.7244,78.98,87,100,11.12,VN,1668175051
50,Dongsheng,39.8161,109.9776,33.19,89,100,19.91,CN,1668175051
51,Goderich,43.7501,-81.7165,55.9,76,100,8.05,CA,1668174884
52,Yangi Marg`ilon,40.4272,71.7189,43.52,70,99,0.0,UZ,1668175082
53,Dikson,73.5069,80.5464,-1.1,94,91,11.74,RU,1668175082
54,Jamestown,42.097,-79.2353,56.05,97,100,8.05,US,1668175082
55,Port Elizabeth,-33.918,25.5701,79.11,89,100,19.57,ZA,1668174869
56,Natal,-5.795,-35.2094,86.65,58,75,11.5,BR,1668174894
